WORK ORDER;PN;Descrição;SN;Operator;Exchange Order Number;R.S. In;Week0;Month0;Year0;R.S. Out;SegVoo;Week 1;Month1;Year1;STATUS;TAIL;DATE OF REMOVAL;Reason for removal;Work done;QUANTITY BGA SOLDER;Item used on repair;TAT;REASON FOR DELAY;WO FINISHED?(Y/N);RETURN TO AZUL;MONTH;YEAR;MONTH.SEGVOO;YEAR.SEGVOO;DUAL
7794;LV10-080408-102;DSB;CBHB001954;AZUL;848068;14/08/2019;33;8;2019;09/09/2019;09/09/2019;37;9;2019;SEGVOO003 ISSUED AS 7794/19 REPLACED U68 FLASH MEMORY;PR-AYW;16/12/2018;SEAT 5D WITH BLACK SCREEN.;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;29,00;OTHER;Y;12/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7795;LV10-080408-102;DSB;CBHB002101;AZUL;848068;14/08/2019;33;8;2019;09/09/2019;09/09/2019;37;9;2019;SEGVOO003 ISSUED AS 7795/19 REPLACED U68 FLASH MEMORY;PR-AXE;13/07/2019;SEAT 12D WITHOUT VIDEO;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;29,00;OTHER;Y;12/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7796;LV10-080408-102;DSB;CBHB000520;AZUL;848068;14/08/2019;33;8;2019;14/09/2020;14/09/2020;38;9;2020;ISSUED SEGVOO003 AS 7796/20 - REPLACED PROCESSOR U1 BCM7312 AND U42;PR-AZE;05/12/2018;SEAT 27B WITH BLACK SCREEN;REPLACED THE FLASH MEMORY POSITION U42, PROCESSOR U2 AND U38 DDRAM.;4;RC28F128J3F-75    (2X)   BCM7312TKPB16G              MT46V32M16CY-5B;406,00;;Y;23/09/2020;9;2020;9;YEAR.SEGVOO;NÃO
7797;LV10-080408-102;DSB;CBHB002532;AZUL;848068;14/08/2019;33;8;2019;09/09/2019;09/09/2019;37;9;2019;SEGVOO003 ISSUED AS 7797/19 REPLACED U68 FLASH MEMORY;PR-AXG;30/07/2019;BLACK SCREEN LIVE TV 29D;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;29,00;OTHER;Y;12/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7798;LV10-080408-102;DSB;CBHB000458;AZUL;848068;14/08/2019;33;8;2019;02/02/2021;02/02/2021;6;2;2021;ISSUED SEG VOO003 AS7798/21 - REPLACED PROCESSOR U1 BCM7312, REPLACED  R144 RESISTOR IN SHORT CIRCUIT AND THEN REPLACED UART U40. TESTED AND THE RESULT IS SATISFACTORY.;PR-AUI;31/07/2019;LIVE TV 1C INOPERATIVE;REPLACED R144, U42 FLASH  MEMORY, U1 DECODER AND U44 UART. ;2;RC28F128J3F-75      BCM7312TKPB16G                           ERJ-2RKF1002X      TL16C752BPT;406,00;;Y;23/09/2020;9;2020;2;YEAR.SEGVOO;NÃO
7948;LV10-080408-102;DSB;CBHB001835;AZUL;858762;03/09/2019;36;9;2019;26/09/2019;26/09/2019;39;9;2019;SEGVOO003 ISSUED AS 7948/19 REPLACED U42 FLASH MEMORY;PR-AYY;17/08/2019;SEAT 18B WITH LIVETV INOP;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;23,00;OTHER;Y;26/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7949;LV10-080408-102;DSB;CBHB003835;AZUL;858762;03/09/2019;36;9;2019;30/12/2019;30/12/2019;53;12;2019;SEGVOO003 ISSUED AS 7949/19 , TESTED - NO FAULTS FOUND;PR-AUE;09/08/2019;SEATS 24, 25, 26 CD INOP;TESTED - NO FAULTS FOUND;0;-;128,00;REPAIR SHOP PROCESS;Y;09/01/2020;1;2020;12;YEAR.SEGVOO;NÃO
7950;LV10-080408-102;DSB;CBHB001389;AZUL;858762;03/09/2019;36;9;2019;26/09/2019;26/09/2019;39;9;2019;SEGVOO003 ISSUED AS 7950/19 REPLACED U68 FLASH MEMORY;PR-AYE;07/08/2019;"SEAT 25D WITH MSG ""NO START""";REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;23,00;OTHER;Y;26/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7951;LV10-080408-102;DSB;CBHB002221;AZUL;858762;03/09/2019;36;9;2019;24/01/2020;24/01/2020;4;1;2020;SEGVOO003 ISSUED AS 7951/19 REPLACED U65 CONVERTER ;PR-AYG;14/08/2019;SEAT 13D FAILURE AUDIO JACK;REPLACED U65 CONVERTER;0;SP6661EN;147,00;MATERIAL;Y;28/01/2020;1;2020;1;YEAR.SEGVOO;NÃO
7952;LV10-080408-102;DSB;CBHB000343;AZUL;858762;03/09/2019;36;9;2019;26/09/2019;26/09/2019;39;9;2019;SEGVOO003 ISSUED AS 7952/19 REPLACED U42 FLASH MEMORY;PR-AYC;27/08/2019;REDELIVERY - REMOVED SERVICEABLE;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;23,00;OTHER;Y;26/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
